code,name,city,phone,rating,reviews,quote,street_TODO,zip_TODO,scoop_TODO,token_c1,token_c2,token_c3,token_c4
HIGHSTORE,Highstore | Headshop Kiosk Schweiz,Zofingen,044 420 09 09,5.0,260,excellent products,,,,HS-HIGHSTORE-C1-0001,HS-HIGHSTORE-C2-0001,HS-HIGHSTORE-C3-0001,HS-HIGHSTORE-C4-0001
INSIDE,Inside Headshop & Growshop,Lucerne,079 372 54 38,5.0,53,"Good choice and great prices, loved the service",,,,HS-INSIDE-C1-0001,HS-INSIDE-C2-0001,HS-INSIDE-C3-0001,HS-INSIDE-C4-0001
STAYHIGH,Stayhigh GmbH,Reiden,041 552 02 88,4.9,489,"Best price, best products",,,,HS-STAYHIGH-C1-0001,HS-STAYHIGH-C2-0001,HS-STAYHIGH-C3-0001,HS-STAYHIGH-C4-0001
RUDESTORE,Rudestore Headshop,Lucerne,041 500 46 80,4.9,87,Very friendly owner and a variety of products,,,,HS-RUDESTORE-C1-0001,HS-RUDESTORE-C2-0001,HS-RUDESTORE-C3-0001,HS-RUDESTORE-C4-0001
WERNERS-K5,Werners Head Shop K5,Zürich,044 272 22 77,4.6,521,Great shop with many different stuff,,,,HS-WERNERS-K5-C1-0001,HS-WERNERS-K5-C2-0001,HS-WERNERS-K5-C3-0001,HS-WERNERS-K5-C4-0001
HANFBOB,Hanfbob`s Grow & Headshop-Pianezzi,Affoltern am Albis,079 811 72 40,5.0,128,Nice merchandising and products for all smokers and vapers,,,,HS-HANFBOB-C1-0001,HS-HANFBOB-C2-0001,HS-HANFBOB-C3-0001,HS-HANFBOB-C4-0001
STARBUDS,Star-Buds-Luzern,Lucerne,079 815 75 85,5.0,145,"Great info, they take the time to consult",,,,HS-STARBUDS-C1-0001,HS-STARBUDS-C2-0001,HS-STARBUDS-C3-0001,HS-STARBUDS-C4-0001
GREENHOUSE,Greenhouse Head Shop Seebach ZH,Zürich,044 620 11 44,4.6,51,Large assortment of hookah accessories and tobaccos,,,,HS-GREENHOUSE-C1-0001,HS-GREENHOUSE-C2-0001,HS-GREENHOUSE-C3-0001,HS-GREENHOUSE-C4-0001
SNUSTREND,"Headshop X Snustrend - Vapes, Snus & Schnupf",Rapperswil-Jona,055 552 23 32,4.8,135,Large selection with attractive pricing,,,,HS-SNUSTREND-C1-0001,HS-SNUSTREND-C2-0001,HS-SNUSTREND-C3-0001,HS-SNUSTREND-C4-0001
PAFFPAFF,Paff Paff Zurich,Zürich,079 912 35 82,4.7,120,"Great place, they have everything you need",,,,HS-PAFFPAFF-C1-0001,HS-PAFFPAFF-C2-0001,HS-PAFFPAFF-C3-0001,HS-PAFFPAFF-C4-0001
WERNERS-ZH1,Werners Head Shop,Zürich,044 262 44 50,4.5,265,"Great inventory and really nice, helpful employees",,,,HS-WERNERS-ZH1-C1-0001,HS-WERNERS-ZH1-C2-0001,HS-WERNERS-ZH1-C3-0001,HS-WERNERS-ZH1-C4-0001
SOMMELIER,Cannabis Sommelier - Finest Swiss Weed Flowers,Zürich,,4.8,350,Great selection and super friendly staff,,,,HS-SOMMELIER-C1-0001,HS-SOMMELIER-C2-0001,HS-SOMMELIER-C3-0001,HS-SOMMELIER-C4-0001
ALCHEMIST,Alchemist | Vape- und Headshop,Zürich,043 317 94 25,5.0,10,"Good prices, custom requests, delivery at home",,,,HS-ALCHEMIST-C1-0001,HS-ALCHEMIST-C2-0001,HS-ALCHEMIST-C3-0001,HS-ALCHEMIST-C4-0001
ZAUBER,Zauber - Blüten Grow & Headshop,Bremgarten,077 807 03 50,5.0,53,Always a great service with a smile,,,,HS-ZAUBER-C1-0001,HS-ZAUBER-C2-0001,HS-ZAUBER-C3-0001,HS-ZAUBER-C4-0001
SMOKEE,smokee,Lucerne,041 360 08 08,4.6,438,Good service and products,,,,HS-SMOKEE-C1-0001,HS-SMOKEE-C2-0001,HS-SMOKEE-C3-0001,HS-SMOKEE-C4-0001
BLOWUP,Blow Up Head- & Growshop,Lucerne,041 219 11 66,4.3,55,Top Shop,,,,HS-BLOWUP-C1-0001,HS-BLOWUP-C2-0001,HS-BLOWUP-C3-0001,HS-BLOWUP-C4-0001
SNUSHUS,Snushus Luzern,Lucerne,071 552 22 15,5.0,167,"Great supply, very friendly staff",,,,HS-SNUSHUS-C1-0001,HS-SNUSHUS-C2-0001,HS-SNUSHUS-C3-0001,HS-SNUSHUS-C4-0001
FOURTWENTY,Fourtwenty Trendshop,Bern,031 311 40 18,4.7,328,"In-store shopping, curbside pickup",,,,HS-FOURTWENTY-C1-0001,HS-FOURTWENTY-C2-0001,HS-FOURTWENTY-C3-0001,HS-FOURTWENTY-C4-0001
WERNERS-K4,Werners Head Shop K4,Zürich,044 242 40 60,4.6,122,"Nice stuff, nice service, prices are ok",,,,HS-WERNERS-K4-C1-0001,HS-WERNERS-K4-C2-0001,HS-WERNERS-K4-C3-0001,HS-WERNERS-K4-C4-0001
WERNERS-ZUG,Werners Head Shop,Zug,041 420 02 03,4.6,119,Great shop and very friendly staff,,,,HS-WERNERS-ZUG-C1-0001,HS-WERNERS-ZUG-C2-0001,HS-WERNERS-ZUG-C3-0001,HS-WERNERS-ZUG-C4-0001
